user_id,userid_DI
18133,MHxPC130518410
18142,MHxPC130342313
18145,MHxPC130449884
18151,MHxPC130474440
18161,MHxPC130142795
18166,MHxPC130024209
18171,MHxPC130146728
18186,MHxPC130448862
18187,MHxPC130403897
18188,MHxPC130417906
18197,MHxPC130237486
18209,MHxPC130381600
18213,MHxPC130459498
18215,MHxPC130280343
18217,MHxPC130169783
18220,MHxPC130592767
18223,MHxPC130554917
18224,MHxPC130411310
18231,MHxPC130049640
18242,MHxPC130301380
18245,MHxPC130391257
18266,MHxPC130378204
18269,MHxPC130196619
18270,MHxPC130564068
18271,MHxPC130126187
18277,MHxPC130236842
18287,MHxPC130284970
18291,MHxPC130238184
18298,MHxPC130224146
18300,MHxPC130440088
18301,MHxPC130559702
18304,MHxPC130510035
18306,MHxPC130045514
18312,MHxPC130562272
18313,MHxPC130306251
18314,MHxPC130323116
18317,MHxPC130371753
18323,MHxPC130339139
18336,MHxPC130366426
18342,MHxPC130076481
18345,MHxPC130594517
18355,MHxPC130501460
18356,MHxPC130162458
18371,MHxPC130063288
18380,MHxPC130573803
18389,MHxPC130093760
18392,MHxPC130448700
18394,MHxPC130001349
18405,MHxPC130224383
18406,MHxPC130227603
18414,MHxPC130386927
18415,MHxPC130373253
18420,MHxPC130483346
18425,MHxPC130220416
18428,MHxPC130479775
18430,MHxPC130336910
18434,MHxPC130322196
18439,MHxPC130315314
18442,MHxPC130378798
18443,MHxPC130436131
18445,MHxPC130156772
18446,MHxPC130239315
18454,MHxPC130392011
18458,MHxPC130385177
18459,MHxPC130310100
18460,MHxPC130394587
18466,MHxPC130363516
18471,MHxPC130353183
18472,MHxPC130562286
18473,MHxPC130042968
18475,MHxPC130323364
18481,MHxPC130452701
18486,MHxPC130109068
18489,MHxPC130535588
18495,MHxPC130594799
18496,MHxPC130437993
18500,MHxPC130005476
18509,MHxPC130586475
18513,MHxPC130330200
18516,MHxPC130554540
18517,MHxPC130014050
18521,MHxPC130473446
18523,MHxPC130446032
18524,MHxPC130415590
18525,MHxPC130210403
18529,MHxPC130452552
18536,MHxPC130196016
18537,MHxPC130163116
18544,MHxPC130461288
18551,MHxPC130216942
18554,MHxPC130437499
18556,MHxPC130098328
18560,MHxPC130478394
18562,MHxPC130252220
18564,MHxPC130274980
18567,MHxPC130476827
18571,MHxPC130457868
18573,MHxPC130124815
18576,MHxPC130110829
18578,MHxPC130539240
18579,MHxPC130331475
18581,MHxPC130344206
18582,MHxPC130211147
18583,MHxPC130520653
18589,MHxPC130343243
18592,MHxPC130543085
18593,MHxPC130272404
18595,MHxPC130068421
18599,MHxPC130391973
18603,MHxPC130529156
18604,MHxPC130359206
18605,MHxPC130330441
18608,MHxPC130201369
18609,MHxPC130291122
18610,MHxPC130263139
18616,MHxPC130408270
18618,MHxPC130537191
18620,MHxPC130275612
18621,MHxPC130148504
18622,MHxPC130473137
18625,MHxPC130496499
18628,MHxPC130465357
18631,MHxPC130225859
18634,MHxPC130112160
18635,MHxPC130355501
18642,MHxPC130054193
18645,MHxPC130085906
18654,MHxPC130482549
18666,MHxPC130461143
18671,MHxPC130070198
18674,MHxPC130127701
18682,MHxPC130001164
18684,MHxPC130498615
18685,MHxPC130326110
18687,MHxPC130419058
